img_name,redness_index,red_pixels_nb
2018_F_p52_7.tif,380.6124941624854,118389
2018_F_p52_8.tif,230.69741253331097,75990
2018_F_p52_9.tif,369.60073748839216,113820
2018_F_p53_1.tif,155.3371358528892,55838
2018_F_p53_10.tif,263.7310297098579,84009
2018_F_p53_2.tif,349.6613745672277,109121
2018_F_p53_3.tif,343.61268938444056,111819
2018_F_p53_4.tif,382.1468521176576,122255
2018_F_p53_5.tif,376.2347774824093,123503
2018_F_p53_6.tif,103.05758729329855,36425
2018_F_p53_7.tif,337.6930941823643,106457
2018_F_p53_8.tif,315.93028276718604,104108
2018_F_p53_9.tif,263.29908837960414,83031
2018_F_p54_1.tif,46.29252120228964,15999
2018_F_p54_10.tif,59.030207229696394,20427
2018_F_p54_2.tif,54.33720620454392,19329
2018_F_p54_3.tif,36.48071130413136,12276
2018_F_p54_4.tif,2.7292672636765074,1017
2018_F_p54_5.tif,27.51587927100724,9188
2018_F_p54_6.tif,15.384670608170598,5294
2018_F_p54_7.tif,42.31707338255956,15252
2018_F_p54_8.tif,188.82331178030347,60630
2018_F_p54_9.tif,68.78982240940725,24682
2018_F_p55_1.tif,60.59404343419012,20721
2018_F_p55_10.tif,17.54438292954913,6409
2018_F_p55_2.tif,23.941134706984528,8666
2018_F_p55_3.tif,234.85486413794928,80982
2018_F_p55_4.tif,90.7077014651444,31041
2018_F_p55_5.tif,30.508609960941275,10458
2018_F_p55_6.tif,57.58669881023111,19884
2018_F_p55_7.tif,74.83839527456027,27056
2018_F_p55_8.tif,98.82322903603135,34298
2018_F_p55_9.tif,73.94626566000146,25273
2018_F_p56_1.tif,374.88137001183196,121567
2018_F_p56_10.tif,332.306196953223,110484
2018_F_p56_2.tif,401.7465690240772,125026
2018_F_p56_3.tif,245.2224756286908,82524
2018_F_p56_4.tif,277.0793319197831,88133
2018_F_p56_5.tif,217.75457541720937,74759
2018_F_p56_6.tif,234.01575816962836,79271
2018_F_p56_7.tif,378.59788860251126,119452
2018_F_p56_8.tif,542.6378965772348,166816
2018_F_p56_9.tif,417.9838988177145,128364
2018_F_p57_1.tif,221.75438238561244,71280
2018_F_p57_10.tif,143.7879167223851,51258
2018_F_p57_2.tif,317.8958820528502,104974
2018_F_p57_3.tif,275.98963577873207,90613
2018_F_p57_4.tif,57.51432386980492,21411
2018_F_p57_5.tif,188.2699640740475,63568
2018_F_p57_6.tif,267.1141061502661,89173
2018_F_p57_7.tif,359.2592972437837,114395
2018_F_p57_8.tif,318.18516827321514,103332
2018_F_p57_9.tif,303.50228848693774,99107
2018_F_p58_1.tif,13.399370458712827,4751
